,id,created_at,text
0,1340706798534320128,2020-12-20 20:13:04 +0300 ,Tomorrow Homeboyz Entertainment Plc will list by introduction on the Growth Enterprise Market Segment of the NSE 2022 10 30 21 29 17 0300 African Markets BUA Cement grows revenue by 40 5 to N262 6 billion on increased cement sales
1,1339229463461187585,2020-12-16 18:22:40 +0300 ,Morocco s central bank maintains rate for the 2nd time amid drought virus
2,1211627878489694208,2019-12-30 15:39:31 +0300 ,MTN to Launch Mobile Money in South Africa
3,1210656641420603399,2019-12-27 23:20:10 +0300 ,Airtel Malawi public offer Pre listing statement
4,1210598553942409216,2019-12-27 19:29:21 +0300 ,Barclays Futures Begin Trading at The Nairobi Derivatives Market
5,1208147638115295233,2019-12-21 01:10:17 +0300 ,Fitch Affirms South Africa at BB Outlook Negative
6,1208147634889908224,2019-12-21 01:10:17 +0300 ,Fitch Affirms Benin at B Outlook Positive
7,1208147629886070784,2019-12-21 01:10:15 +0300 ,Fitch Affirms Zambia at CCC
8,1208147625339506692,2019-12-21 01:10:14 +0300 ,Fitch Revises Outlook on Nigeria to Negative Affirms at B
9,1207661096762519553,2019-12-19 16:56:57 +0300 ,Greif Nigeria to delist from the Nigerian Stock Exchange
10,1207415968965832708,2019-12-19 00:42:54 +0300 ,Vodafone Ghana acquires entire stake of Vodacom Business Ghana
11,1207415964800864256,2019-12-19 00:42:53 +0300 ,NSE Issues Profit Warning
12,1207336916082995203,2019-12-18 19:28:46 +0300 ,Kenya Airways names new acting CEO
13,1207336911691485184,2019-12-18 19:28:45 +0300 ,Ghana Gov’t to begin Eurobond roadshow in January 2020 to raise 3 billion
14,1207336907241328645,2019-12-18 19:28:44 +0300 ,Kenya Banks businesses forecast inflation above 5 in 2020
15,1207336903453872129,2019-12-18 19:28:43 +0300 ,CIC Insurance issues profit warning
16,1207336899364446208,2019-12-18 19:28:42 +0300 ,Nigerian Seplat completes the acquisition of Eland oil and gas company
17,1207336894864011264,2019-12-18 19:28:41 +0300 ,Egypt s bourse gains EGP 9 5 bn after nearly two week of losses
18,1206740134089101312,2019-12-17 03:57:22 +0300 ,Rameda Pharmaceutical lists shares on the Egyptian Exchange
19,1205509403694288897,2019-12-13 18:26:53 +0300 ,Textainer Group lists on the Johannesburg Stock Exchange
20,1205509399067975681,2019-12-13 18:26:52 +0300 ,Kenya Regulator approves Airtel Telkom merger
