,id,created_at,text
0,1225167960878153728,2020-02-06 00:22:59 +0300 ,Angola s state diamond company Endiama eyes 2022 IPO
1,1223734317722923009,2020-02-02 01:26:11 +0300 ,Africa s Best Stock Markets YTD Nigeria 7 6 Morocco 2 6 Tanzania 2 3
2,1200980671235117056,2019-12-01 06:31:19 +0300 ,Africa s Best Stock Markets YTD Egypt 18 2 Kenya 11 8 Malawi 11 5
3,1123571019615285249,2019-05-01 15:53:00 +0300 ,Africa s Best Stock Markets YTD Egypt 19 4 Kenya 13 0 South Africa 12 2
4,1112699383684968450,2019-04-01 15:53:00 +0300 ,Africa s Best Stock Markets YTD Egypt 16 3 Kenya 13 5 Uganda 6 2
5,1101591189172686855,2019-03-02 00:13:00 +0300 ,Africa s Best Stock Markets YTD Egypt 16 2 Zambia 11 5 Kenya 10 7
6,1093934740619579393,2019-02-08 21:09:01 +0300 ,Jumia Africa s Amazon heading toward US IPO later this year
7,1093545677345439744,2019-02-07 19:23:01 +0300 ,MTN Nigeria to list on Nigeria Stock Exchange in first half of 2019
8,1091333600677675008,2019-02-01 16:53:01 +0300 ,Africa s Best Stock Markets YTD South Africa 14 2 Egypt 9 8 Kenya 8 4
9,1091008963775217664,2019-01-31 19:23:01 +0300 ,Malawi reduces key interest rate to 14 5 from 16 0 in response to lower inflation
10,1090621405652283392,2019-01-30 17:43:00 +0300 ,Kenyan stock exchange to launch derivatives market in first half of 2019
11,1090271610223747073,2019-01-29 18:33:02 +0300 ,Ghana cuts benchmark interest rate to 16 its lowest level in over five years
12,1062367739954769920,2018-11-13 18:33:01 +0300 ,Nigeria to get first new listing in four years ending IPO drought
13,1060930768594235397,2018-11-09 19:23:01 +0300 ,Botswana based retailer Furnmart to delist from local stock exchange due to new minimum free float requirements
14,1060543216150331392,2018-11-08 17:43:01 +0300 ,Zimbabwe s leading mobile network operator Econet to list banking and mobile unit separately
15,1054419364957556736,2018-10-22 20:09:01 +0300 ,Kenya s Cytonn Investments eyes IPO in mid 2019
16,1054392685388279809,2018-10-22 18:23:00 +0300 ,South African direct response marketing firm Verimark to delist from JSE
17,1053332209602572288,2018-10-19 20:09:03 +0300 ,Bank of Kigali to list shares on Nairobi Securities Exchange upon completion of rights issue next month
18,1053316846051647488,2018-10-19 19:08:00 +0300 ,South African dairy firm Clover Industries announces takeover talks share price soars
19,1053305524559798272,2018-10-19 18:23:01 +0300 ,African bank Oragroup to launch 101 million IPO the largest listing ever on the Abidjan bourse BRVM
20,1049281506915627008,2018-10-08 15:53:00 +0300 ,5 Reasons to Buy Longhorn Publishers
