id,created_at,text
1340706798534320128,2020-12-20 20:13:04 +0300 ," Tomorrow, Homeboyz Entertainment Plc will list by introduction on the Growth Enterprise Market Segment of the NSE.  https://t.co/Jz8m3Tiokw,1586787339313057795 2022-10-30 21:29:17 +0300 <African_Markets> BUA Cement grows revenue by 40.5% to N262.6 billion on increased cement sales  https://t.co/muRdRWoWIN"
1339229463461187585,2020-12-16 18:22:40 +0300 ," Morocco's central bank maintains rate for the 2nd time amid drought, virus   https://t.co/brWuGPJhHd,"
1211627878489694208,2019-12-30 15:39:31 +0300 ," MTN to Launch Mobile Money in South Africa   https://t.co/1EHH8Z9rzm,,"
1210656641420603399,2019-12-27 23:20:10 +0300 ," Airtel Malawi public offer - Pre-listing statement  https://t.co/CC0zH3XVhH,,"
1210598553942409216,2019-12-27 19:29:21 +0300 ," Barclays Futures Begin Trading at The Nairobi Derivatives Market   https://t.co/QbqBhXorgf,,"
1208147638115295233,2019-12-21 01:10:17 +0300 ," Fitch Affirms South Africa at 'BB+'; Outlook Negative   https://t.co/8uiE2mANQJ,,"
1208147634889908224,2019-12-21 01:10:17 +0300 ," Fitch Affirms Benin at 'B'; Outlook Positive   https://t.co/Y4wTRyXsAE,,"
1208147629886070784,2019-12-21 01:10:15 +0300 ," Fitch Affirms Zambia at 'CCC'   https://t.co/WZytKrQ2cF,,"
1208147625339506692,2019-12-21 01:10:14 +0300 ," Fitch Revises Outlook on Nigeria to Negative; Affirms at 'B+'   https://t.co/W1MPhXRRfH,,"
1207661096762519553,2019-12-19 16:56:57 +0300 ," Greif Nigeria to delist from the Nigerian Stock Exchange   https://t.co/03BRxWDVum,,"
1207415968965832708,2019-12-19 00:42:54 +0300 ," Vodafone Ghana acquires entire stake of Vodacom Business Ghana   https://t.co/CTFPncPmub,,"
1207415964800864256,2019-12-19 00:42:53 +0300 ," NSE Issues Profit Warning   https://t.co/nBZ96INEzM,,"
1207336916082995203,2019-12-18 19:28:46 +0300 ," Kenya Airways names new acting CEO   https://t.co/DHzpTg7sSF,,"
1207336911691485184,2019-12-18 19:28:45 +0300 ," Ghana: Gov’t to begin Eurobond roadshow in January 2020 to raise $3 billion   https://t.co/QFEpL9Cae4,,"
1207336907241328645,2019-12-18 19:28:44 +0300 ," Kenya: Banks, businesses forecast inflation above 5% in 2020   https://t.co/Fg2nzIcFVe,"
1207336903453872129,2019-12-18 19:28:43 +0300 ," CIC Insurance issues profit warning   https://t.co/GJTmULwpul,,"
1207336899364446208,2019-12-18 19:28:42 +0300 ," Nigerian Seplat completes the acquisition of Eland oil and gas company   https://t.co/D1gALqyNpo,,"
1207336894864011264,2019-12-18 19:28:41 +0300 ," Egypt's bourse gains EGP 9.5 bn after nearly two week of losses   https://t.co/DruMvRnJCZ,,"
1206740134089101312,2019-12-17 03:57:22 +0300 ," Rameda Pharmaceutical lists shares on the Egyptian Exchange   https://t.co/OlxaeL3ouS,,"
1205509403694288897,2019-12-13 18:26:53 +0300 ," Textainer Group lists on the Johannesburg Stock Exchange   https://t.co/3iCX7uRQu5,,"
1205509399067975681,2019-12-13 18:26:52 +0300 ," Kenya: Regulator approves Airtel, Telkom merger   https://t.co/emUymbdVKT,"
1205098351336853504,2019-12-12 15:13:31 +0300 ," Airtel Africa to list on Malawi Stock Exchange   https://t.co/QXgp0ytyqq,,"
1204803290812342272,2019-12-11 19:41:03 +0300 ," Uber Launches in Ivory Coast   https://t.co/7NNXF4EDf6,,"
1204803287104598016,2019-12-11 19:41:02 +0300 ," Rwanda :Qatar Airways acquiert 60% du capital du nouvel aéroport international   https://t.co/38g9SrjKj1,,"
1204803282792861696,2019-12-11 19:41:01 +0300 ," Egypt to float Heliopolis Company for Housing on EGX by Q1 2020   https://t.co/iSsSLK84vV,,"
1204537620908462082,2019-12-11 02:05:22 +0300 ," Moody's downgrades Namibia's ratings to Ba2; outlook stable   https://t.co/n1qGUvuxgd,,"
1204537616596688896,2019-12-11 02:05:21 +0300 ," Fitch Affirms Kenya at 'B+'; Outlook Stable   https://t.co/fCzuM09Ojs,,"
1204537611945218048,2019-12-11 02:05:20 +0300 ," Fitch Affirms Morocco at 'BBB-'; Outlook Stable   https://t.co/5evhwA7MD1,,"
1202630271666991111,2019-12-05 19:46:15 +0300 ," Egyptian lender CIB to Acquire Kenya’s Mayfair Bank   https://t.co/UtP2FohPFh,,"
1200005793426366464,2019-11-28 13:57:30 +0300 ," Jumia leaves Tanzania, 10 days after exiting Cameroon   https://t.co/7J3NUqVMWY,"
1200005788951044096,2019-11-28 13:57:29 +0300 ," Alibaba debuts in Hong Kong Stock Exchange   https://t.co/WmTuTUVUfG,,"
1199969475044478976,2019-11-28 11:33:11 +0300 ," Mauritius central bank maintains rate unchanged but lowers 2019 growth forecast   https://t.co/Mgry4k5SCA,,"
1199969469587693568,2019-11-28 11:33:10 +0300 ," Kenya : la banque centrale abaisse son taux directeur à 8,50%   https://t.co/WHrgFyFeJZ,"
1199427301567541254,2019-11-26 23:38:47 +0300 ," The Johannesburg Stock Exchange expands dark functionality offering to include 'Iceberg orders'   https://t.co/EDsBuXVRU7,,"
1199427296656084992,2019-11-26 23:38:46 +0300 ," MTN Zakhele Futhi lists on the JSE's Empowerment Segment   https://t.co/lwmVs1vWnx,,"
1199427292310704128,2019-11-26 23:38:45 +0300 ," Le Groupe BGFIBank bientôt en Bourse (BVMAC)   https://t.co/SXzs7FkYga,,"
1199122425461583872,2019-11-26 03:27:19 +0300 ," AM Daily Report - 25 November 2019: Kenya +0.65% | Namibia -0.98%   https://t.co/CDWoXqwopO,,"
1199048322738262017,2019-11-25 22:32:52 +0300 ," Kenya Central Bank cuts key rate 50 bps after interest rate cap is scrapped   https://t.co/KgY1fMLbcl,,"
1197565123377979394,2019-11-21 20:19:09 +0300 ," Dangote Flour Mills delisted from the Nigerian Stock Exchange   https://t.co/pCF4LA3FUl,,"
1197535765431017473,2019-11-21 18:22:30 +0300 ," 51 brokerage companies granted licences to offer short-selling on Egyptian Exchange   https://t.co/Joo0LgcsOa,,"
1197278176386441217,2019-11-21 01:18:56 +0300 ," Zambia's central bank raises rate another 125 bps and may hike further   https://t.co/hRMC9uaSSy,,"
1197208656942641152,2019-11-20 20:42:41 +0300 ," Zambie : la Banque centrale relève son taux directeur de 125 points de base à 11,5%   https://t.co/HNJO56kugp,"
1197180142956826624,2019-11-20 18:49:23 +0300 ," Equity Group announces KSh 10.6 billion Acquisition of majority stake in Congolese Bank   https://t.co/DCIanBlxy7,,"
1196816550411587586,2019-11-19 18:44:36 +0300 ," Acacia Mining delisted from the Dar es Salaam stock exchange   https://t.co/6EDgK83J1W,,"
1196542626889121793,2019-11-19 00:36:07 +0300 ," AM Daily Report - 18 November 2019: Uganda +0.85% | Tanzania -13.52%   https://t.co/VCQsa0fYPL,,"
1195494516763086848,2019-11-16 03:11:18 +0300 ," AM Weekly Report - 15 November 2019: Zimbabwe +68.70% | Egypt +11.58% | BRVM -18.83% | Zambia -18.14%   https://t.co/jPikXunM9Q,,"
1195399074985455617,2019-11-15 20:52:03 +0300 ," Namibia: Standard Bank shares IPO oversubscribed   https://t.co/2BUoBvcoXS,,"
1195383042627514369,2019-11-15 19:48:21 +0300 ," The Namibian Stock Exchange to list first bonds' ETF   https://t.co/IlcJt7uJlp,,"
1195368638418698240,2019-11-15 18:51:06 +0300 ," Au Cameroun, le marocain Wafa Assurance finalise le rachat de Pro Assur   https://t.co/MJMHnkNtAB,"
1195155948765138944,2019-11-15 04:45:57 +0300 ," Central Bank of Egypt cuts interest rates by 1% for third time in a row   https://t.co/CCpHwByMxR,,"
1195092578628251663,2019-11-15 00:34:09 +0300 ," Morgan Stanley Revises MSCI Frontier Markets Index   https://t.co/OhOivfpgyt,,"
1195024880397361154,2019-11-14 20:05:08 +0300 ," Mauritius-based Dale Capital completes ZAR X secondary listing   https://t.co/EGmDeOMyq7,,"
1194937972191309826,2019-11-14 14:19:48 +0300 ," The Electricity Company of Ghana (ECG) to be listed on the Stock market - Finance Minister   https://t.co/u8tXbqQXMQ,,"
1194749159137525761,2019-11-14 01:49:31 +0300 ," Egyptian lender CIB to Make an Acquisition in Kenya   https://t.co/JcCOSWwzzu,,"
1194749154762854401,2019-11-14 01:49:30 +0300 ," Nigerian Stockbrokers To Launch Commodities Exchange   https://t.co/4Xt9U2mMKi,,"
1194730664265957376,2019-11-14 00:36:02 +0300 ," Sorghum and Sesame contracts listed on the Ghana Commodity Exchange   https://t.co/D4MZYLaLQS,,"
1194212308706349056,2019-11-12 14:16:16 +0300 ," I&amp;M Holdings unit Fully Acquires Ugandan Insurance Company   https://t.co/AL282RkDY3,,"
1194212305086623746,2019-11-12 14:16:15 +0300 ," Kenya: Stanlib to Sell Fahari I-REIT to ICEA Lion   https://t.co/s6Y2UffP47,,"
1194005005453398016,2019-11-12 00:32:31 +0300 ," AM Daily Report - 11 November 2019: Nigeria +0.48% | Tanzania -1.32%   https://t.co/bT75RxtzSL,,"
1193928304312639489,2019-11-11 19:27:44 +0300 ," #AfricanMarkets YTD Performance - 8 November 2019: #Zimbabwe +67.04% | #Kenya +14.64% | #Egypt +13.50% | #Zambia +17.87% | #BRVM -17.66% | More of  https://t.co/9D6HusTFwJ  https://t.co/JabjJa5r7U,,"
1192849894807101440,2019-11-08 20:02:31 +0300 ," JSE announces amendments to listing requirements to strengthen primary and secondary listings' regulation   https://t.co/p9QtCWyUq0,,"
1191746583873884160,2019-11-05 18:58:21 +0300 ," Moody's changes South Africa's outlook to negative from stable, affirms Baa3 ratings   https://t.co/jAs23yneHr,"
1191746578270294016,2019-11-05 18:58:20 +0300 ," Moody's affirms Groupe Banque Centrale Populaire's Ba2 foreign currency deposit rating, downgrades BCA to b1   https://t.co/NpEnk3SI9y,"
1190166317959122944,2019-11-01 10:18:57 +0300 ," Ouganda : les opérateurs télécoms invités à s’introduire en Bourse   https://t.co/brqTKKy4a0,,"
1190166302582853632,2019-11-01 10:18:53 +0300 ," WPP Scangroup Directors approve sale of its Ownership in Kantar   https://t.co/JUMGkHA8dN,,"
1189910472247664641,2019-10-31 17:22:18 +0300 ," Uganda says telecoms companies must list on local bourse   https://t.co/gLe5GuLUQa,,"
1189844861643571202,2019-10-31 13:01:35 +0300 ," US Fed cuts rate 3rd time due to 'global developments'   https://t.co/UsewRhCdVk,,"
1189574989730779136,2019-10-30 19:09:13 +0300 ," Nairobi Securities Exchange Launches New Equities Trading System   https://t.co/Ybt6T0Vaa2,,"
1189567836244430849,2019-10-30 18:40:47 +0300 ," Malawi central bank maintains policy rate at 13.5%   https://t.co/JWTAQrGpqx,,"
1189567811884109824,2019-10-30 18:40:42 +0300 ," Nigeria’s Access Bank to acquire Transnational Bank of Kenya   https://t.co/yMgj8WrTyd,,"
1189567807018749954,2019-10-30 18:40:40 +0300 ," Kenya: Bank stocks rally continues after Parliament supports repeal of rate caps   https://t.co/2DLS0WyRBS,,"
1189549695569403904,2019-10-30 17:28:42 +0300 ," Egypt’s Financial Regulatory Authority to cut trading fees on EGX, to boost investments   https://t.co/e6WnQUlG5U,"
1189456078574182400,2019-10-30 11:16:42 +0300 ," Kenya: Goldman Sachs entre au capital de Twiga Food   https://t.co/qH8du8KqLa,,"
1189456063394918400,2019-10-30 11:16:39 +0300 ," La banque Centrale de Tunisie maintien son taux directeur à 7,75%   https://t.co/sZK97UiWCS,"
1189456059175440384,2019-10-30 11:16:38 +0300 ," Tunisia maintains rate as inflation stabilizes   https://t.co/lGfBaLJQq1,,"
1187730527786360838,2019-10-25 16:59:59 +0300 ," Fitch Ratings: Zambia Budget Fails to Address External Financing Risks   https://t.co/30Qjn0B3R5,,"
1187730523705229314,2019-10-25 16:59:58 +0300 ," Ghana Stock Exchange approves exit of CAL Brokers from local bourse   https://t.co/GDJ7gnVwWk,,"
1187722711151329280,2019-10-25 16:28:55 +0300 ," Fitch Ratings: Moroccan Banks Continue to See Weak Growth   https://t.co/e8OxERGhDe,,"
1187718975838400513,2019-10-25 16:14:05 +0300 ," Nairobi Securities Exchange Updates Issuer Codes   https://t.co/fAZ4krlfxM,,"
1187026679396556802,2019-10-23 18:23:08 +0300 ," Zimbabwe Stock Exchange launches Exchange Traded Funds   https://t.co/giMuGJ2D38,,"
1186749879403585536,2019-10-23 00:03:14 +0300 ," AM Daily Report - 22 October 2019: Kenya +0.65% | Zimbabwe -0.74%   https://t.co/wPsco6W566,,"
1186749875083513857,2019-10-23 00:03:13 +0300 ," The Egyptian Exchange Completes the Feasibility Study of the Establishment of the Egyptian Mercantile Exchange   https://t.co/vXIfRQ6RTd,,"
1186749870335545346,2019-10-23 00:03:12 +0300 ," S&amp;P confirme la perspective négative du Cameroun   https://t.co/PSNziAXXzC,,"
1185224896672083968,2019-10-18 19:03:30 +0300 ," Standard Bank to list on the Namibian Stock Exchange   https://t.co/1D8yWuper5,,"
1185195255278252032,2019-10-18 17:05:43 +0300 ," Reserve Bank Implements Automated Trading System for Malawi Stock Exchange   https://t.co/Aa9pmWBBBV,,"
1185195252023529478,2019-10-18 17:05:42 +0300 ," Proposal to scrap rate cap law excites Kenya’s stock market   https://t.co/DX98OzwmUN,,"
1185187050032640001,2019-10-18 16:33:07 +0300 ," BVMAC: La CEMAC prépare l’entrée en bourse d’entreprises publiques   https://t.co/68EMNphcGi,,"
1184977928477655040,2019-10-18 02:42:08 +0300 ," Congo: la BCP finalise l’acquisition de 100% de la BIC   https://t.co/LwPjc8WoTz,,"
1184977924098809856,2019-10-18 02:42:07 +0300 ," La BCP finalise l’acquisition de la BMOI (Madagascar)   https://t.co/M4LiGzq17K,,"
